Unit Propagations, Derivations of Decision Variables, Time of Execution, Algorithm, Benchmark, Log File, Date of Run
81.6, 22.4, 0.0037356008300048417, DPPL.v2, uf20-91, logs/result_logs/DPPL.v2_uf20-91_2022_08_04_08_05_12, "04/08/2022, 08:05:13"
75, 15, 0.004053475600085221, DPPL.v2, flat30-60, logs/result_logs/DPPL.v2_flat30-60_2022_08_04_08_16_34, "04/08/2022, 08:16:34"
127.3, 22.7, 0.006784887099638581, DPPL.v2, flat50-115, logs/result_logs/DPPL.v2_flat50-115_2022_08_04_08_26_26, "04/08/2022, 08:26:26"
231.6, 77, 0.008739818399772049, DPPL.v2, task1, logs/result_logs/DPPL.v2_task1_2022_08_04_08_05_10, "04/08/2022, 08:05:10"
255.1, 44.9, 0.01964252360012324, DPPL.v2, flat100-239, logs/result_logs/DPPL.v2_flat100-239_2022_08_04_08_26_35, "04/08/2022, 08:26:35"
1649.94, 234.92, 0.04528461129993957, DPPL.v2, uf50-218, logs/result_logs/DPPL.v2_uf50-218_2022_08_04_08_05_15, "04/08/2022, 08:05:18"
4634.3, 631.52, 0.12690952405991993, DPPL.v2, uuf50-218, logs/result_logs/DPPL.v2_uuf50-218_2022_08_04_08_06_14, "04/08/2022, 08:06:21"
17231.9, 563.5, 0.2906753644001583, DPPL.v2, flat75-180, logs/result_logs/DPPL.v2_flat75-180_2022_08_04_08_26_29, "04/08/2022, 08:26:32"
27962.7, 3053.8, 0.718028776599931, DPPL.v2, uf75-325, logs/result_logs/DPPL.v2_uf75-325_2022_08_04_08_05_21, "04/08/2022, 08:05:28"
46776.3, 4893.8, 1.1810772290997194, DPPL.v2, uuf75-325, logs/result_logs/DPPL.v2_uuf75-325_2022_08_04_08_06_23, "04/08/2022, 08:06:35"
108533.2, 9355.5, 2.758235839899953, DPPL.v2, uf100-430, logs/result_logs/DPPL.v2_uf100-430_2022_08_04_08_05_32, "04/08/2022, 08:06:00"
601712.9, 53648.8, 14.680268196100041, DPPL.v2, uuf100-430, logs/result_logs/DPPL.v2_uuf100-430_2022_08_04_08_06_39, "04/08/2022, 08:09:06"
