Unit Propagations, Derivations of Decision Variables, Time of Execution, Algorithm, Benchmark, Log File, Date of Run
81.6, 22.4, 0.0037356008300048417, DPPL.v2, uf20-91, logs/result_logs/DPPL.v2_uf20-91_2022_08_04_08_05_12, "04/08/2022, 08:05:13"
41.2, 2.8, 0.00737572880461812, DPPL, task1, logs/result_logs/DPPL_task1_2022_08_02_17_38_01, "02/08/2022, 17:38:01"
231.6, 77, 0.008739818399772049, DPPL.v2, task1, logs/result_logs/DPPL.v2_task1_2022_08_04_08_05_10, "04/08/2022, 08:05:10"
24.49, 9.55, 0.02171913583064452, DPPL, uf20-91, logs/result_logs/DPPL_uf20-91_2022_08_02_17_38_11, "02/08/2022, 17:38:14"
1649.94, 234.92, 0.04528461129993957, DPPL.v2, uf50-218, logs/result_logs/DPPL.v2_uf50-218_2022_08_04_08_05_15, "04/08/2022, 08:05:18"
4634.3, 631.52, 0.12690952405991993, DPPL.v2, uuf50-218, logs/result_logs/DPPL.v2_uuf50-218_2022_08_04_08_06_14, "04/08/2022, 08:06:21"
242.34, 96.44, 0.3590561016241554, DPPL, uf50-218, logs/result_logs/DPPL_uf50-218_2022_08_02_17_38_20, "02/08/2022, 17:38:39"
27962.7, 3053.8, 0.718028776599931, DPPL.v2, uf75-325, logs/result_logs/DPPL.v2_uf75-325_2022_08_04_08_05_21, "04/08/2022, 08:05:28"
489.52, 217.5, 0.8884371233417186, DPPL, uuf50-218, logs/result_logs/DPPL_uuf50-218_2022_08_02_17_42_44, "02/08/2022, 17:43:30"
46776.3, 4893.8, 1.1810772290997194, DPPL.v2, uuf75-325, logs/result_logs/DPPL.v2_uuf75-325_2022_08_04_08_06_23, "04/08/2022, 08:06:35"
108533.2, 9355.5, 2.758235839899953, DPPL.v2, uf100-430, logs/result_logs/DPPL.v2_uf100-430_2022_08_04_08_05_32, "04/08/2022, 08:06:00"
1756.6, 662.1, 3.656788572994992, DPPL, uf75-325, logs/result_logs/DPPL_uf75-325_2022_08_02_17_38_48, "02/08/2022, 17:39:25"
2839.6, 1074.3, 6.334471964405384, DPPL, uuf75-325, logs/result_logs/DPPL_uuf75-325_2022_08_02_17_43_34, "02/08/2022, 17:44:38"
601712.9, 53648.8, 14.680268196100041, DPPL.v2, uuf100-430, logs/result_logs/DPPL.v2_uuf100-430_2022_08_04_08_06_39, "04/08/2022, 08:09:06"
6119.9, 2056, 14.832574515708256, DPPL, uf100-430, logs/result_logs/DPPL_uf100-430_2022_08_02_17_39_43, "02/08/2022, 17:42:11"
30438.1, 11670.5, 94.7704074187961, DPPL, uuf100-430, logs/result_logs/DPPL_uuf100-430_2022_08_02_17_45_02, "02/08/2022, 18:00:53"
